BookingID,Quantity,Sales,Cost,MenuID,Sides,Drink,Dessert,Starter,Main,Cuisine,OrderID,TableNumber,BookingDate,CustomerID,CustomerName,CustomerPhone,CustomerEmail,CustomerCountry,
1,2,216.14,144.09,M12,Meatballs,Ankara White Wine,Turkish yoghurt,Tomato bread,Kabasa,Greek,Order_M12_BID_1,13,6/14/2019,OQA-AAT-676,Aaron Cromley,763-770-2088,Aarley123@email.com,USA,
2,2,187.5,125,M12,Meatballs,Ankara White Wine,Turkish yoghurt,Tomato bread,Kabasa,Greek,Order_M12_BID_2,13,6/14/2019,OQA-AAT-676,Aaron Cromley,763-770-2088,Aarley123@email.com,USA,
3,2,252.41,168.27,M12,Meatballs,Ankara White Wine,Turkish yoghurt,Tomato bread,Kabasa,Greek,Order_M12_BID_3,13,6/14/2019,OQA-AAT-676,Aaron Cromley,763-770-2088,Aarley123@email.com,USA,
4,2,104.07,69.38,M12,Meatballs,Ankara White Wine,Turkish yoghurt,Tomato bread,Kabasa,Greek,Order_M12_BID_4,13,6/14/2019,OQA-AAT-676,Aaron Cromley,763-770-2088,Aarley123@email.com,USA,
5,2,285,190,M12,Meatballs,Ankara White Wine,Turkish yoghurt,Tomato bread,Kabasa,Greek,Order_M12_BID_5,13,6/14/2019,OQA-AAT-676,Aaron Cromley,763-770-2088,Aarley123@email.com,USA,
6,2,78.12,52.08,M12,Meatballs,Ankara White Wine,Turkish yoghurt,Tomato bread,Kabasa,Greek,Order_M12_BID_6,13,6/14/2019,OQA-AAT-676,Aaron Cromley,763-770-2088,Aarley123@email.com,USA,
7,2,465,310,M12,Meatballs,Ankara White Wine,Turkish yoghurt,Tomato bread,Kabasa,Greek,Order_M12_BID_7,13,6/14/2019,OQA-AAT-676,Aaron Cromley,763-770-2088,Aarley123@email.com,USA,
8,2,137.76,91.84,M12,Meatballs,Ankara White Wine,Turkish yoghurt,Tomato bread,Kabasa,Greek,Order_M12_BID_8,13,6/14/2019,OQA-AAT-676,Aaron Cromley,763-770-2088,Aarley123@email.com,USA,
9,2,480,320,M12,Meatballs,Ankara White Wine,Turkish yoghurt,Tomato bread,Kabasa,Greek,Order_M12_BID_9,13,6/14/2019,OQA-AAT-676,Aaron Cromley,763-770-2088,Aarley123@email.com,USA,
10,2,139.7,93.13,M12,Meatballs,Ankara White Wine,Turkish yoghurt,Tomato bread,Kabasa,Greek,Order_M12_BID_10,13,6/14/2019,OQA-AAT-676,Aaron Cromley,763-770-2088,Aarley123@email.com,USA,
11,2,112.5,75,M12,Meatballs,Ankara White Wine,Turkish yoghurt,Tomato bread,Kabasa,Greek,Order_M12_BID_11,13,6/14/2019,OQA-AAT-676,Aaron Cromley,763-770-2088,Aarley123@email.com,USA,
12,2,216.14,144.09,M12,Meatballs,Ankara White Wine,Turkish yoghurt,Tomato bread,Kabasa,Greek,Order_M12_BID_12,13,6/14/2019,OQA-AAT-676,Aaron Cromley,763-770-2088,Aarley123@email.com,USA,
13,2,187.5,125,M12,Meatballs,Ankara White Wine,Turkish yoghurt,Tomato bread,Kabasa,Greek,Order_M12_BID_13,13,6/14/2019,OQA-AAT-676,Aaron Cromley,763-770-2088,Aarley123@email.com,USA,
14,2,252.41,168.27,M12,Meatballs,Ankara White Wine,Turkish yoghurt,Tomato bread,Kabasa,Greek,Order_M12_BID_14,13,6/14/2019,OQA-AAT-676,Aaron Cromley,763-770-2088,Aarley123@email.com,USA,
15,2,104.07,69.38,M12,Meatballs,Ankara White Wine,Turkish yoghurt,Tomato bread,Kabasa,Greek,Order_M12_BID_15,13,6/14/2019,OQA-AAT-676,Aaron Cromley,763-770-2088,Aarley123@email.com,USA,
16,2,285,190,M12,Meatballs,Ankara White Wine,Turkish yoghurt,Tomato bread,Kabasa,Greek,Order_M12_BID_16,13,6/14/2019,OQA-AAT-676,Aaron Cromley,763-770-2088,Aarley123@email.com,USA,
17,2,78.12,52.08,M12,Meatballs,Ankara White Wine,Turkish yoghurt,Tomato bread,Kabasa,Greek,Order_M12_BID_17,13,6/14/2019,OQA-AAT-676,Aaron Cromley,763-770-2088,Aarley123@email.com,USA,
